BIL;DEST;VPV;SPV;SNV;VNV;NSP;DK;TP;TN
UE28_EU;UE;15%;54%;21%;6%;1251;4%;69%;27%
BE_EU;UE;12%;64%;19%;4%;10;1%;76%;23%
BG_EU;UE;26%;43%;14%;8%;90;9%;69%;22%
CZ_EU;UE;15%;45%;27%;10%;26;3%;60%;37%
DK_EU;UE;27%;56%;10%;3%;36;4%;83%;13%
D-W_EU;UE;13%;62%;20%;1%;36;4%;75%;21%
DE_EU;UE;13%;61%;20%;3%;49;3%;74%;23%
D-E_EU;UE;12%;61%;18%;7%;8;2%;73%;25%
EE_EU;UE;17%;64%;12%;2%;50;5%;81%;14%
IE_EU;UE;34%;46%;12%;4%;36;4%;80%;16%
EL_EU;UE;8%;36%;34%;20%;15;2%;44%;54%
ES_EU;UE;19%;49%;23%;4%;53;5%;68%;27%
FR_EU;UE;5%;57%;25%;7%;63;6%;62%;32%
HR_EU;UE;26%;51%;14%;5%;36;4%;77%;19%
IT_EU;UE;7%;52%;28%;7%;58;6%;59%;35%
CY_EU;UE;12%;54%;21%;9%;19;4%;66%;30%
LV_EU;UE;12%;66%;15%;4%;35;3%;78%;19%
LT_EU;UE;40%;49%;8%;1%;20;2%;89%;9%
LU_EU;UE;26%;60%;9%;3%;11;2%;86%;12%
HU_EU;UE;8%;54%;29%;6%;34;3%;62%;35%
MT_EU;UE;18%;65%;8%;4%;25;5%;83%;12%
NL_EU;UE;22%;62%;12%;3%;7;1%;84%;15%
AT_EU;UE;16%;47%;29%;4%;43;4%;63%;33%
PL_EU;UE;17%;64%;10%;2%;66;7%;81%;12%
PT_EU;UE;15%;62%;17%;2%;48;4%;77%;19%
RO_EU;UE;28%;54%;12%;3%;28;3%;82%;15%
SI_EU;UE;12%;62%;19%;4%;26;3%;74%;23%
SK_EU;UE;18%;60%;17%;4%;14;1%;78%;21%
FI_EU;UE;17%;71%;10%;1%;10;1%;88%;11%
SE_EU;UE;31%;49%;14%;5%;7;1%;80%;19%
UK_EU;UE;20%;38%;25%;11%;80;6%;58%;36%
UE_28_DE;DE;20%;50%;19%;6%;1381;5%;70%;25%
BE_DE;DE;18%;66%;13%;2%;7;1%;84%;15%
BG_DE;DE;25%;47%;13%;6%;94;9%;72%;19%
CZ_DE;DE;14%;43%;31%;11%;10;1%;57%;42%
DK_DE;DE;43%;48%;5%;1%;31;3%;91%;6%
D-W_DE;DE;31%;56%;10%;1%;17;2%;87%;11%
DE_DE;DE;30%;56%;12%;1%;22;1%;86%;13%
